Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC14_1
,13590,Pnoepyga pusilla,02.06.08,,Pnoepyga pusilla,25168
,13600,Spelaeornis troglodytoides,02.06.08,,Spelaeornis troglodytoides,27624
,13610,Cyanoderma ruficeps,02.06.08,,Stachyris ruficeps,27607
,13620,Moupinia poecilotis,02.06.08,,Moupinia poecilotis,26961
,13630,Chamaea fasciata,02.06.08,,Chamaea fasciata,27011
,13640,Panurus biarmicus,02.06.08,,Panurus biarmicus,23775
,13650,Conostoma aemodium,02.06.08,,Conostoma oemodium,NA
,13660,Cholornis paradoxus,02.06.08,,Paradoxornis paradoxus,NA
,13670,Cholornis unicolor,02.06.08,,Paradoxornis unicolor,NA
,13680,Paradoxornis flavirostris,02.06.08,,Paradoxornis flavirostris,27023
,13690,Sinosuthora conspicillata,02.06.08,,Paradoxornis conspicillatus,NA
,13700,Sinosuthora webbiana,02.06.08,,Paradoxornis webbianus,NA
,13701,Sinosuthora webbiana webbiana,02.06.08,,Paradoxornis webbianus webbianus,NA
,13702,Sinosuthora webbiana suffusa,02.06.08,,Paradoxornis webbianus suffusa,NA
,13703,Sinosuthora webbiana fulvicauda,02.06.08,,Paradoxornis webbianus fulvicauda,NA
,13704,Sinosuthora webbiana mantschurica,02.06.08,,Paradoxornis webbianus mantschurica,NA
,13705,Sinosuthora alphonsiana,02.06.08,,Paradoxornis webbianus alphonsiana,NA
,13710,Sinosuthora zappeyi,02.06.08,,Paradoxornis zappeyi,NA
,13720,Sinosuthora przewalskii,02.06.08,,Paradoxornis przewalskii,NA
,13730,Suthora fulvifrons,02.06.08,,Paradoxornis fulvifrons,27048
,13740,Suthora nipalensis,02.06.08,,Paradoxornis nipalensis,27053
,13750,Suthora verreauxi,02.06.08,,Paradoxornis verreauxi,27064
,13760,Calamornis heudei,02.06.08,,Paradoxornis heudei,NA
,13770,Argya altirostris,02.06.08,,Turdoides altirostris,28303
,13780,Argya caudata,02.06.08,,Turdoides caudatus,28307
,13790,Argya squamiceps,02.06.08,,Turdoides squamiceps,28316
,13800,Argya fulva,02.06.08,,Turdoides fulvus,28310
,13810,Pterorhinus lanceolatus,02.06.08,,Babax lanceolatus,28510
,13820,Pterorhinus waddelli,02.06.08,,Babax waddelli,28514
,13830,Pterorhinus koslowi,02.06.08,,Babax koslowi,28518
,13840,Pterorhinus perspicillatus,02.06.08,,Garrulax perspicillatus,28495
,13850,Pterorhinus albogularis,02.06.08,,Garrulax albogularis,28521
,13860,Pterorhinus pectoralis,02.06.08,,Garrulax pectoralis,28496
,13870,Grammatoptila striata,02.06.08,,Garrulax striatus,28076
,13880,Garrulax maesi,02.06.08,,Garrulax maesi,28431
,13890,Trochalopteron variegatum,02.06.08,,Garrulax variegatus,28108
,13900,Pterorhinus davidi,02.06.08,,Garrulax davidi,28503
